Watching for file changes with StatReloader
Waiting for apps ready_event.
Apps ready_event triggered. Sending autoreload_started signal.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\..\Frontend_UI with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\user_level\templates with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\myapp1\templates with glob **/*.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\locale with glob **/*.mo.
Watching dir C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\corsheaders\locale with glob **/*.mo.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\myapp1\locale with glob **/*.mo.
Watching dir C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\Silvertech\user_level\locale with glob **/*.mo.
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1715481291.8955526
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\http.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\_typing\_nested_sequence.py first seen with mtime 1712923112.050629
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1715481292.9187942
File C:\ProgramData\anaconda3\envs\django-back\Lib\ssl.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\auth\_default.py first seen with mtime 1712921482.3431697
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\asgiref\local.py first seen with mtime 1711677865.6374972
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\query.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\codec\__init__.py first seen with mtime 1712921480.1802323
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\type\__init__.py first seen with mtime 1712921480.1892266
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\json\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\http\request.py first seen with mtime 1715481293.4896207
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\myapp1\__init__.py first seen with mtime 1713169004.7006874
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\requests\__init__.py first seen with mtime 1712921481.5421493
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\rpc\error_details_pb2.py first seen with mtime 1712921482.1384811
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\nanfunctions.py first seen with mtime 1712923111.8287528
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\generator.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\json\encoder.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\message.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\_typing\__init__.py first seen with mtime 1712923112.0539677
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\type\constraint.py first seen with mtime 1712921480.1892266
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\core\_machar.py first seen with mtime 1712923111.6143782
File C:\ProgramData\anaconda3\envs\django-back\Lib\collections\abc.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1715481293.3945448
File C:\ProgramData\anaconda3\envs\django-back\Lib\ctypes\_endian.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\ast.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\queue.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\sqlparse\__init__.py first seen with mtime 1711677865.4540513
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1715481292.1415732
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\gzip.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\pkgutil.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\copy.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\certifi\__init__.py first seen with mtime 1712921481.37989
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1715481292.1415732
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\sessions\middleware.py first seen with mtime 1715481293.1410866
File C:\ProgramData\anaconda3\envs\django-back\Lib\asyncio\taskgroups.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\argparse.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\type\char.py first seen with mtime 1712921480.1892266
File C:\ProgramData\anaconda3\envs\django-back\Lib\_markupbase.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\random\_pickle.py first seen with mtime 1712923111.935888
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\corsheaders\conf.py first seen with mtime 1713169633.2581553
File C:\ProgramData\anaconda3\envs\django-back\Lib\json\decoder.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\debug.py first seen with mtime 1712921480.1732244
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\_parseaddr.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1715481292.9187942
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\signals.py first seen with mtime 1715481293.3472197
File C:\ProgramData\anaconda3\envs\django-back\DLLs\_bz2.pyd first seen with mtime 1708116277.2234912
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py first seen with mtime 1710328835.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1715481293.3788998
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\cloud\translate_v2\client.py first seen with mtime 1712921482.7596295
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\idna\core.py first seen with mtime 1712921480.6589077
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\cloud\exceptions.py first seen with mtime 1712921482.7185228
File C:\ProgramData\anaconda3\envs\django-back\Lib\wsgiref\simple_server.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\zipfile\_path\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\parser.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\signals.py first seen with mtime 1715481293.4263217
File C:\ProgramData\anaconda3\envs\django-back\Lib\importlib\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\http\cookiejar.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\safestring.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\fnmatch.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1715481291.6803174
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\aio\_typing.py first seen with mtime 1712921480.969993
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1715481293.3788998
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\polynomial\__init__.py first seen with mtime 1712923111.903433
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\glob.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\threading.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\cloud\translate_v2\__init__.py first seen with mtime 1712921482.7596295
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\random\_sfc64.cp312-win_amd64.pyd first seen with mtime 1712923111.941401
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\polynomial\_polybase.py first seen with mtime 1712923111.903433
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\kiwipiepy\template.py first seen with mtime 1712923115.681472
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\function\kiwi.py first seen with mtime 1715157679.5315561
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\cache\utils.py first seen with mtime 1715481293.3631694
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\dateparse.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\_version.py first seen with mtime 1712923111.8452044
File C:\ProgramData\anaconda3\envs\django-back\DLLs\_lzma.pyd first seen with mtime 1708116280.0548933
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\checks\database.py first seen with mtime 1715481293.3643968
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\dates.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\cloud\_http.py first seen with mtime 1712921482.7185228
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\type\base.py first seen with mtime 1712921480.1892266
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\urllib3\exceptions.py first seen with mtime 1712921479.9668007
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\inspect.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\concurrent\futures\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\cache.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\_pytesttester.py first seen with mtime 1712923111.5679739
File C:\ProgramData\anaconda3\envs\django-back\Lib\xml\parsers\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\idna\intranges.py first seen with mtime 1712921480.6669273
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\protobuf\text_encoding.py first seen with mtime 1712921480.3781736
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pkg_resources\extern\__init__.py first seen with mtime 1710328835.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1\codec\der\__init__.py first seen with mtime 1712921480.1802323
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\regex_helper.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1715481292.2752905
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pymysql\constants\__init__.py first seen with mtime 1715486833.2310586
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\fft\__init__.py first seen with mtime 1712923111.8204305
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\fft\helper.py first seen with mtime 1712923111.8128889
File C:\ProgramData\anaconda3\envs\django-back\Lib\html\entities.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\socketserver.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\tqdm\cli.py first seen with mtime 1712922860.471699
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1715481293.3788998
File C:\ProgramData\anaconda3\envs\django-back\Lib\inspect.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\random\_mt19937.cp312-win_amd64.pyd first seen with mtime 1712923111.9308815
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\_utils\_convertions.py first seen with mtime 1712923112.0539677
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\wsgi.py first seen with mtime 1715481293.3472197
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\backends\mysql\__init__.py first seen with mtime 1715481293.410334
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\db\models\functions\__init__.py first seen with mtime 1715481293.4421666
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\polynomial.py first seen with mtime 1712923111.8287528
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1712921479.9833295
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\contenttypes\apps.py first seen with mtime 1715481292.426401
File C:\ProgramData\anaconda3\envs\django-back\Lib\http\cookies.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\colorama\__init__.py first seen with mtime 1666700775.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1715481293.4896207
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\tqdm\_dist_ver.py first seen with mtime 1712922860.4609015
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\corsheaders\apps.py first seen with mtime 1713169633.2566342
File C:\ProgramData\anaconda3\envs\django-back\Lib\logging\__init__.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\polynomial\laguerre.py first seen with mtime 1712923111.899926
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pkg_resources\_vendor\packaging\version.py first seen with mtime 1710328835.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\charset.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\DLLs\unicodedata.pyd first seen with mtime 1708116273.9726741
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\rsa\pem.py first seen with mtime 1712921481.4632764
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\cachetools\keys.py first seen with mtime 1712921481.4052951
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\__init__.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\sessions\backends\base.py first seen with mtime 1715481293.1410866
File C:\ProgramData\anaconda3\envs\django-back\Lib\email\mime\nonmultipart.py first seen with mtime 1707250784.0
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\rsa\core.py first seen with mtime 1712921481.4552674
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1715481293.3788998
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\pyasn1_modules\__init__.py first seen with mtime 1712921481.6322184
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\auth\models.py first seen with mtime 1715481292.283532
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\contrib\messages\middleware.py first seen with mtime 1715481292.9187942
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\grpc\aio\_server.py first seen with mtime 1712921480.969993
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1715481293.5054786
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\django\utils\encoding.py first seen with mtime 1715481293.5213346
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\numpy\lib\index_tricks.py first seen with mtime 1712923111.8287528
File C:\ProgramData\anaconda3\envs\django-back\Lib\site-packages\google\auth\crypt\base.py first seen with mtime 1712921482.3515387
File C:\Users\jangj\OneDrive\문서\GitHub\2024-1-OSS-team-4-SilverTech\SilverTech\user_level\apps.py first seen with mtime 1715593807.6051095
